kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
pole,390.0,low-mid,370,9,370,40,94,S3:68;S2:67;S6:62;S1:59,GRID:355;CENTER:6;PUSH_HOME:3;AWAY:2;HOME:2,vowel,ih:f1,390.0,0.0
pole,355.0,low-mid,120,9,120,39,72,S2:40;S6:20;S5:18;S3:16,GRID:95;CENTER:16;AWAY:4;HOME:2;PUSH_HOME:2,klatt,u:f1,350.0,24.56
pole,1050.0,mouth,86,9,86,39,62,S3:23;S5:19;S1:15;S2:11,GRID:73;PUSH_HOME:5;CENTER:4;AWAY:2;HOME:1,mullen,u:f2,1067.0,27.81
pole,270.0,low,110,9,110,36,66,S3:30;S6:28;S2:21;S5:13,GRID:84;CENTER:17;PUSH_HOME:4;AWAY:2;PUSH_AWAY:2,vowel,iy:f1,270.0,0.0
pole,255.0,low,90,9,90,35,59,S2:28;S6:21;S1:11;S3:11,GRID:77;CENTER:4;AWAY:3;PUSH_HOME:3;HOME:2,,,,
pole,260.0,low,97,9,97,34,57,S2:25;S6:19;S3:17;S1:15,GRID:82;CENTER:6;AWAY:3;PUSH_HOME:3;PUSH_AWAY:2,vowel,iy:f1,270.0,65.34
pole,330.0,low-mid,56,9,56,32,42,S2:21;S6:11;S3:9;S5:7,GRID:45;AWAY:5;HOME:2;CENTER:2;PUSH_HOME:1,mullen,u:f1,342.0,61.84
pole,505.0,low-mid,78,9,78,32,52,S2:24;S6:15;S5:12;S4:10,GRID:65;CENTER:4;AWAY:3;PUSH_HOME:3;HOME:2,tube,co_50cm:p2,515.0,33.95
pole,1010.0,mouth,61,9,61,32,45,S5:14;S2:14;S3:11;S6:9,GRID:50;PUSH_HOME:3;PUSH_AWAY:3;AWAY:2;CENTER:2,vowel,uu:f2,1020.0,17.06
zero,370.0,low-mid,71,9,71,30,43,S2:28;S1:11;S5:10;S3:8,GRID:57;CENTER:5;AWAY:3;PUSH_AWAY:3;HOME:3,,,,
pole,495.0,low-mid,61,9,61,29,44,S2:20;S5:12;S4:11;S3:9,GRID:47;AWAY:5;CENTER:5;HOME:3;PUSH_AWAY:1,vowel,er:f1,490.0,17.58
pole,420.0,low-mid,54,9,54,28,40,S3:13;S6:12;S5:11;S2:10,GRID:43;AWAY:4;PUSH_HOME:3;CENTER:2;HOME:1,vowel,uu:f1,440.0,80.54
pole,194.0,low,292,9,292,26,76,S3:53;S2:52;S1:50;S5:47,GRID:279;CENTER:4;PUSH_HOME:3;AWAY:2;HOME:2,,,,
zero,5875.0,tear,43,9,43,26,33,S6:16;S5:11;S4:7;S3:4,GRID:32;HOME:4;PUSH_HOME:2;PUSH_AWAY:2;CENTER:2,tube,oo_18cm:p6,5717.0,47.2
pole,82.0,sub,70,9,70,25,48,S6:18;S1:15;S3:10;S2:10,GRID:61;AWAY:4;HOME:3;PUSH_HOME:2,,,,
pole,2230.0,bite,34,9,34,25,30,S5:9;S4:7;S3:6;S2:5,GRID:24;HOME:4;PUSH_AWAY:3;AWAY:1;CENTER:1,vowel,uw:f3,2240.0,7.75
zero,355.0,low-mid,86,9,86,25,49,S1:22;S2:18;S5:16;S3:12,GRID:66;CENTER:11;AWAY:3;PUSH_AWAY:3;HOME:2,klatt,u:f1,350.0,24.56
zero,1440.0,mouth,60,9,60,24,32,S2:16;S4:14;S6:9;S3:8,GRID:44;CENTER:7;PUSH_AWAY:3;AWAY:3;HOME:2,tube,co_18cm:p2,1429.0,13.28
pole,2610.0,bite,31,9,31,23,28,S4:10;S6:8;S1:6;S3:5,GRID:22;HOME:3;PUSH_AWAY:3;AWAY:2;PUSH_HOME:1,klatt,a:f3,2600.0,6.65
pole,2840.0,bite,37,9,37,23,29,S4:11;S6:8;S1:7;S3:6,GRID:24;CENTER:4;HOME:4;AWAY:2;PUSH_AWAY:2,tube,oo_18cm:p3,2858.0,10.94
zero,465.0,low-mid,55,9,55,23,32,S1:20;S3:15;S5:7;S2:6,GRID:44;HOME:4;PUSH_HOME:3;CENTER:2;AWAY:1,tube,co_18cm:p1,476.0,40.48
zero,2760.0,bite,47,9,47,23,28,S4:17;S6:9;S5:9;S1:5,GRID:34;HOME:4;CENTER:4;PUSH_AWAY:3;PUSH_HOME:1,tube,oo_25cm:p4,2744.0,10.07
zero,2850.0,bite,44,9,44,23,26,S4:24;S6:6;S2:5;S3:4,GRID:34;PUSH_HOME:3;AWAY:2;PUSH_AWAY:2;HOME:2,tube,oo_18cm:p3,2858.0,4.85
pole,1640.0,bite,49,9,49,22,32,S1:12;S3:11;S2:9;S5:9,GRID:38;AWAY:3;CENTER:2;PUSH_AWAY:2;HOME:2,vowel,er:f3,1690.0,51.99
pole,2170.0,bite,38,9,38,22,32,S3:10;S1:9;S5:6;S2:6,GRID:29;AWAY:6;PUSH_AWAY:2;PUSH_HOME:1,klatt,u:f3,2200.0,23.77
zero,955.0,mouth,77,9,77,22,32,S2:40;S1:10;S5:9;S3:7,GRID:67;HOME:3;PUSH_HOME:2;AWAY:2;PUSH_AWAY:2,tube,oo_18cm:p1,953.0,3.63
pole,80.0,sub,33,9,33,21,25,S1:10;S2:10;S6:7;S3:4,GRID:24;PUSH_HOME:4;HOME:3;PUSH_AWAY:1;AWAY:1,,,,
pole,98.0,sub,239,9,239,21,64,S5:48;S1:47;S2:40;S4:36,GRID:220;CENTER:10;PUSH_AWAY:3;PUSH_HOME:3;HOME:2,,,,
pole,72.0,sub,49,9,49,20,29,S2:17;S6:13;S5:6;S4:6,GRID:39;PUSH_HOME:4;HOME:3;AWAY:1;PUSH_AWAY:1,,,,
zero,1360.0,mouth,37,9,37,19,24,S4:13;S1:11;S3:7;S2:3,GRID:27;HOME:4;PUSH_HOME:3;AWAY:1;PUSH_AWAY:1,vowel,er:f2,1350.0,12.78
zero,2810.0,bite,34,9,34,19,27,S4:14;S2:7;S5:5;S6:3,GRID:25;PUSH_AWAY:7;AWAY:2,tube,oo_18cm:p3,2858.0,29.32
zero,1900.0,bite,42,9,42,17,23,S3:18;S4:11;S2:6;S6:3,GRID:32;PUSH_AWAY:4;AWAY:3;PUSH_HOME:1;CENTER:1,tube,oo_18cm:p2,1906.0,5.46
zero,920.0,mouth,25,9,25,16,21,S4:10;S2:6;S1:5;S3:3,GRID:14;PUSH_HOME:4;CENTER:2;AWAY:2;HOME:2,tube,oo_18cm:p1,953.0,61.01
zero,10050.0,air,22,9,22,16,17,S5:9;S6:7;S4:2;S1:2,GRID:13;HOME:4;PUSH_HOME:3;AWAY:2,,,,
zero,3830.0,tear,30,9,30,15,18,S5:12;S6:6;S3:5;S4:4,GRID:19;AWAY:5;CENTER:2;HOME:2;PUSH_AWAY:1,tube,oo_18cm:p4,3811.0,8.61
pole,46.0,sub,19,9,19,13,13,S2:10;S6:4;S3:2;S4:2,GRID:10;HOME:5;AWAY:2;PUSH_HOME:2,,,,
zero,3640.0,tear,24,9,24,13,14,S5:14;S6:4;S3:2;S2:2,GRID:14;HOME:4;PUSH_HOME:3;CENTER:1;AWAY:1,mullen,e:f4,3511.0,62.47
zero,5625.0,tear,18,9,18,12,13,S4:11;S6:4;S5:2;S1:1,GRID:9;PUSH_AWAY:7;AWAY:2,tube,oo_18cm:p6,5717.0,28.09
zero,7275.0,air,31,9,31,12,16,S5:18;S6:4;S4:4;S3:2,GRID:22;HOME:4;PUSH_HOME:3;AWAY:1;PUSH_AWAY:1,,,,
zero,5025.0,tear,23,9,23,11,13,S2:6;S6:5;S1:5;S3:3,GRID:13;HOME:6;PUSH_HOME:2;CENTER:1;PUSH_AWAY:1,tube,oo_10cm:p3,5145.0,40.86
zero,12225.0,air,14,9,14,10,10,S4:11;S3:1;S1:1;S6:1,PUSH_AWAY:7;GRID:5;PUSH_HOME:1;AWAY:1,,,,
zero,14400.0,air,26,9,26,7,8,S4:15;S3:7;S1:2;S6:2,GRID:17;HOME:5;PUSH_HOME:4,,,,
pole,525.0,low-mid,90,8,90,40,58,S3:22;S5:20;S2:16;S1:12,GRID:82;PUSH_HOME:5;AWAY:2;HOME:1,vowel,eh:f1,530.0,16.41
pole,510.0,low-mid,83,8,83,37,64,S2:20;S6:18;S4:15;S3:13,GRID:72;CENTER:3;PUSH_HOME:3;PUSH_AWAY:2;AWAY:2,tube,co_50cm:p2,515.0,16.89
pole,360.0,low-mid,82,8,82,35,59,S2:19;S3:16;S4:14;S6:13,GRID:69;CENTER:5;HOME:4;PUSH_HOME:3;AWAY:1,klatt,u:f1,350.0,48.77
pole,315.0,low-mid,56,8,56,34,45,S2:16;S6:15;S3:11;S5:7,GRID:46;PUSH_HOME:4;AWAY:2;PUSH_AWAY:2;CENTER:2,vowel,uw:f1,300.0,84.47
pole,480.0,low-mid,67,8,67,34,44,S3:18;S1:16;S2:14;S5:8,GRID:58;HOME:6;AWAY:2;CENTER:1,tube,co_18cm:p1,476.0,14.49
pole,640.0,low-mid,47,8,47,32,40,S2:16;S3:9;S6:8;S4:6,GRID:37;PUSH_HOME:4;AWAY:3;CENTER:2;PUSH_AWAY:1,vowel,uh:f1,640.0,0.0
pole,1500.0,mouth,59,8,59,31,41,S5:12;S6:12;S1:11;S4:10,GRID:48;CENTER:3;AWAY:3;PUSH_AWAY:3;PUSH_HOME:2,tube,co_50cm:p5,1544.0,50.05
pole,310.0,low-mid,46,8,46,29,37,S6:15;S2:9;S5:7;S3:6,GRID:32;CENTER:6;AWAY:3;PUSH_HOME:3;PUSH_AWAY:2,vowel,uw:f1,300.0,56.77
pole,900.0,mouth,38,8,38,29,36,S3:11;S5:9;S6:6;S2:6,GRID:28;PUSH_HOME:4;PUSH_AWAY:3;CENTER:2;AWAY:1,vowel,uw:f2,870.0,58.69
pole,1090.0,mouth,69,8,69,29,52,S3:16;S5:12;S4:12;S2:11,GRID:60;AWAY:4;PUSH_HOME:2;PUSH_AWAY:2;CENTER:1,vowel,aa:f2,1090.0,0.0
pole,2960.0,bite,50,8,50,29,39,S3:16;S5:12;S6:8;S1:8,GRID:41;HOME:4;PUSH_HOME:2;CENTER:1;AWAY:1,vowel,iy:f3,3010.0,29.0
zero,530.0,low-mid,97,8,97,29,52,S1:20;S2:18;S5:18;S6:17,GRID:88;HOME:5;PUSH_HOME:2;AWAY:1;CENTER:1,vowel,eh:f1,530.0,0.0
pole,1280.0,mouth,46,8,46,28,38,S2:13;S3:11;S4:9;S5:6,GRID:34;PUSH_HOME:4;CENTER:4;AWAY:3;PUSH_AWAY:1,klatt,u:f2,1250.0,41.06
pole,1390.0,mouth,55,8,55,28,37,S3:17;S2:10;S1:9;S6:7,GRID:45;PUSH_HOME:5;AWAY:2;CENTER:2;PUSH_AWAY:1,tube,oo_50cm:p4,1372.0,22.57
pole,2160.0,bite,43,8,43,27,37,S4:14;S3:12;S1:9;S6:4,GRID:33;HOME:4;PUSH_HOME:3;CENTER:2;AWAY:1,klatt,u:f3,2200.0,31.77
pole,164.0,low,56,8,56,26,38,S3:15;S2:14;S1:9;S5:8,GRID:47;PUSH_HOME:3;AWAY:3;HOME:2;CENTER:1,tube,co_50cm:p1,172.0,82.46
pole,720.0,mouth,45,8,45,25,32,S3:13;S5:9;S4:9;S6:7,GRID:36;HOME:2;PUSH_HOME:2;AWAY:2;PUSH_AWAY:2,vowel,aa:f1,730.0,23.88
pole,1350.0,mouth,35,8,35,25,33,S3:9;S6:7;S2:6;S4:5,GRID:26;PUSH_HOME:4;AWAY:3;PUSH_AWAY:1;CENTER:1,vowel,er:f2,1350.0,0.0
zero,570.0,low-mid,36,8,36,25,25,S1:11;S2:9;S3:7;S5:5,GRID:27;PUSH_HOME:4;AWAY:3;HOME:1;CENTER:1,vowel,ao:f1,570.0,0.0
pole,2130.0,bite,42,8,42,24,33,S4:11;S6:11;S1:6;S3:6,GRID:33;HOME:3;PUSH_HOME:3;PUSH_AWAY:2;CENTER:1,klatt,u:f3,2200.0,55.98
zero,445.0,low-mid,59,8,59,24,34,S1:15;S2:10;S3:9;S4:9,GRID:51;HOME:5;PUSH_HOME:3,vowel,uu:f1,440.0,19.56
pole,1970.0,bite,43,8,43,23,30,S5:14;S4:8;S3:7;S6:6,GRID:32;PUSH_AWAY:4;CENTER:3;PUSH_HOME:2;AWAY:1,vowel,ih:f2,1990.0,17.49
pole,2650.0,bite,32,8,32,23,26,S1:8;S4:8;S5:7;S3:4,GRID:21;PUSH_HOME:4;PUSH_AWAY:3;CENTER:3;AWAY:1,klatt,a:f3,2600.0,32.98
pole,2880.0,bite,30,8,30,23,27,S5:11;S1:7;S6:5;S4:4,GRID:21;PUSH_HOME:6;AWAY:2;CENTER:1,tube,oo_18cm:p3,2858.0,13.28
zero,270.0,low,84,8,84,22,51,S4:20;S1:19;S2:13;S3:12,GRID:61;CENTER:15;HOME:7;PUSH_HOME:1,vowel,iy:f1,270.0,0.0
pole,1110.0,mouth,37,8,37,21,26,S4:13;S5:7;S2:6;S6:6,GRID:29;HOME:4;PUSH_HOME:2;AWAY:1;PUSH_AWAY:1,klatt,o:f2,1100.0,15.67
pole,2890.0,bite,35,8,35,21,25,S5:10;S3:7;S6:6;S4:5,GRID:26;PUSH_AWAY:3;HOME:2;PUSH_HOME:2;CENTER:1,tube,oo_18cm:p3,2858.0,19.28
pole,5875.0,tear,43,8,43,21,29,S1:10;S3:9;S5:9;S4:9,GRID:34;PUSH_HOME:3;AWAY:3;PUSH_AWAY:2;CENTER:1,tube,oo_18cm:p6,5717.0,47.2
zero,1740.0,bite,34,8,34,21,26,S5:10;S2:8;S6:7;S4:4,GRID:26;HOME:3;PUSH_HOME:2;PUSH_AWAY:2;AWAY:1,vowel,ae:f2,1720.0,20.01
pole,840.0,mouth,36,8,36,20,27,S2:11;S3:10;S5:5;S6:5,GRID:28;PUSH_HOME:4;PUSH_AWAY:2;HOME:1;AWAY:1,vowel,ao:f2,840.0,0.0
pole,2380.0,bite,31,8,31,20,24,S3:12;S2:7;S6:4;S4:3,GRID:21;PUSH_HOME:6;CENTER:2;PUSH_AWAY:1;AWAY:1,tube,co_18cm:p3,2381.0,0.73
zero,5100.0,tear,38,8,38,20,27,S3:14;S5:8;S4:5;S1:4,GRID:28;PUSH_AWAY:7;CENTER:2;AWAY:1,tube,oo_10cm:p3,5145.0,15.21
pole,52.0,sub,34,8,34,19,22,S2:17;S6:7;S5:5;S1:2,GRID:26;HOME:3;AWAY:2;PUSH_HOME:2;PUSH_AWAY:1,,,,
pole,580.0,low-mid,39,8,39,19,28,S6:11;S2:9;S5:7;S3:5,GRID:30;HOME:4;PUSH_HOME:3;CENTER:1;PUSH_AWAY:1,vowel,ao:f1,570.0,30.11
zero,136.0,low,59,8,59,19,36,S1:16;S5:11;S3:10;S2:9,GRID:48;CENTER:3;PUSH_AWAY:3;HOME:3;PUSH_HOME:1,,,,
zero,2550.0,bite,37,8,37,19,26,S3:11;S2:8;S6:7;S4:5,GRID:27;PUSH_AWAY:7;CENTER:2;AWAY:1,vowel,ih:f3,2550.0,0.0
pole,3620.0,tear,25,8,25,18,20,S1:9;S4:5;S5:5;S3:4,GRID:17;AWAY:3;HOME:3;PUSH_AWAY:1;PUSH_HOME:1,mullen,e:f4,3511.0,52.93
zero,1240.0,mouth,34,8,34,17,21,S3:20;S1:4;S4:4;S5:3,GRID:26;PUSH_HOME:4;AWAY:3;HOME:1,klatt,u:f2,1250.0,13.91
zero,2730.0,bite,34,8,34,16,23,S4:13;S2:8;S6:7;S1:3,GRID:25;HOME:3;PUSH_HOME:3;AWAY:1;PUSH_AWAY:1,tube,oo_25cm:p4,2744.0,8.86
zero,6850.0,tear,62,8,62,16,20,S4:41;S6:8;S5:8;S2:2,GRID:51;CENTER:3;PUSH_HOME:3;HOME:2;AWAY:2,tube,oo_10cm:p4,6860.0,2.53
pole,4040.0,tear,26,8,26,15,18,S1:10;S6:5;S3:4;S5:3,GRID:17;HOME:4;PUSH_HOME:3;PUSH_AWAY:1;CENTER:1,tube,oo_25cm:p6,4116.0,32.27
pole,4460.0,tear,21,8,21,14,18,S5:7;S4:6;S3:3;S1:3,GRID:11;HOME:4;PUSH_AWAY:3;CENTER:2;AWAY:1,tube,co_18cm:p5,4287.0,68.49
pole,8800.0,air,20,8,20,14,16,S1:8;S6:5;S4:4;S5:2,GRID:12;PUSH_HOME:5;PUSH_AWAY:2;HOME:1,tube,oo_10cm:p5,8575.0,44.84
zero,1150.0,mouth,27,8,27,14,19,S1:9;S4:8;S3:5;S2:3,GRID:18;PUSH_HOME:4;HOME:4;CENTER:1,vowel,uh:f2,1190.0,59.19
zero,7475.0,air,23,8,23,13,14,S5:8;S4:7;S6:5;S3:3,GRID:14;HOME:6;PUSH_HOME:2;CENTER:1,,,,
zero,3860.0,tear,22,8,22,11,12,S6:7;S4:6;S5:4;S1:3,GRID:13;HOME:4;PUSH_HOME:3;PUSH_AWAY:1;CENTER:1,tube,oo_18cm:p4,3811.0,22.12
zero,3740.0,tear,22,8,22,10,11,S5:8;S4:8;S2:2;S1:2,GRID:14;HOME:5;PUSH_HOME:3,tube,oo_18cm:p4,3811.0,32.56
zero,13225.0,air,28,8,28,10,11,S4:15;S3:6;S6:4;S5:3,GRID:20;HOME:4;PUSH_HOME:4,,,,
zero,10200.0,air,13,8,13,9,9,S3:10;S4:1;S6:1;S1:1,PUSH_AWAY:7;GRID:5;AWAY:1,,,,
zero,11250.0,air,13,8,13,9,9,S4:10;S1:1;S3:1;S6:1,PUSH_AWAY:7;GRID:4;AWAY:1;CENTER:1,,,,
zero,10775.0,air,15,8,15,8,8,S4:5;S5:4;S2:3;S6:2,GRID:7;AWAY:3;PUSH_AWAY:3;HOME:1;PUSH_HOME:1,,,,
zero,11100.0,air,16,8,16,8,11,S3:10;S5:4;S6:1;S4:1,GRID:8;PUSH_AWAY:7;AWAY:1,,,,
pole,10325.0,air,10,8,10,7,9,S2:4;S1:2;S3:1;S6:1,HOME:5;GRID:2;PUSH_AWAY:2;PUSH_HOME:1,,,,
zero,13400.0,air,21,8,21,7,7,S3:11;S2:5;S6:3;S1:1,GRID:13;HOME:4;PUSH_HOME:4,,,,
pole,375.0,low-mid,87,7,87,35,61,S6:22;S2:22;S3:13;S1:11,GRID:72;CENTER:8;PUSH_AWAY:3;HOME:2;AWAY:1,vowel,ih:f1,390.0,67.9
pole,1310.0,mouth,42,7,42,30,39,S3:11;S6:8;S5:8;S4:8,GRID:35;AWAY:2;HOME:2;PUSH_AWAY:2;PUSH_HOME:1,vowel,er:f2,1350.0,52.07
pole,455.0,low-mid,56,7,56,29,49,S3:13;S6:13;S1:11;S5:8,GRID:47;PUSH_HOME:3;AWAY:2;CENTER:2;PUSH_AWAY:1,vowel,uu:f1,440.0,58.04
pole,695.0,low-mid,56,7,56,29,38,S3:21;S2:9;S5:8;S4:6,GRID:47;PUSH_HOME:5;CENTER:2;PUSH_AWAY:1;HOME:1,klatt,a:f1,700.0,12.41
pole,1070.0,mouth,59,7,59,29,44,S5:12;S4:11;S6:11;S2:10,GRID:50;AWAY:3;PUSH_HOME:3;CENTER:2;PUSH_AWAY:1,mullen,u:f2,1067.0,4.86
pole,1250.0,mouth,52,7,52,28,39,S5:14;S4:11;S3:8;S6:7,GRID:40;CENTER:5;PUSH_HOME:3;AWAY:3;PUSH_AWAY:1,klatt,u:f2,1250.0,0.0
pole,92.0,sub,99,7,99,27,50,S6:27;S2:25;S5:15;S1:13,GRID:91;HOME:5;AWAY:2;CENTER:1,,,,
pole,340.0,low-mid,48,7,48,26,37,S2:12;S6:11;S3:10;S5:9,GRID:41;PUSH_AWAY:2;AWAY:2;PUSH_HOME:2;HOME:1,mullen,u:f1,342.0,10.15
pole,172.0,low,34,7,34,25,31,S6:8;S2:8;S3:6;S4:5,GRID:25;PUSH_AWAY:4;HOME:3;CENTER:2,tube,co_50cm:p1,172.0,0.0
pole,204.0,low,41,7,41,25,33,S2:13;S6:13;S5:5;S3:4,GRID:25;CENTER:9;PUSH_HOME:3;AWAY:2;HOME:2,,,,
pole,890.0,mouth,36,7,36,24,31,S6:11;S2:8;S3:5;S1:4,GRID:28;AWAY:3;HOME:2;PUSH_HOME:2;CENTER:1,vowel,uw:f2,870.0,39.35
pole,1330.0,mouth,39,7,39,24,33,S3:9;S1:8;S5:8;S4:6,GRID:28;CENTER:4;AWAY:3;HOME:2;PUSH_HOME:2,vowel,er:f2,1350.0,25.84
pole,1980.0,bite,39,7,39,24,32,S4:9;S6:9;S3:8;S5:8,GRID:32;AWAY:3;HOME:3;PUSH_AWAY:1,vowel,ih:f2,1990.0,8.72
pole,2020.0,bite,43,7,43,22,35,S4:9;S5:8;S1:7;S6:7,GRID:35;PUSH_AWAY:3;PUSH_HOME:2;HOME:2;CENTER:1,vowel,ih:f2,1990.0,25.9
pole,2220.0,bite,37,7,37,22,31,S5:10;S4:10;S6:5;S3:5,GRID:27;CENTER:3;AWAY:3;PUSH_AWAY:2;HOME:2,mullen,u:f3,2219.0,0.78
pole,715.0,mouth,50,7,50,21,31,S2:15;S6:10;S3:8;S4:7,GRID:40;PUSH_HOME:3;CENTER:3;AWAY:2;HOME:1,vowel,aa:f1,730.0,35.94
pole,2090.0,bite,36,7,36,21,31,S4:11;S1:8;S3:6;S2:4,GRID:29;PUSH_HOME:4;PUSH_AWAY:2;AWAY:1,tube,oo_50cm:p6,2058.0,26.71
pole,2210.0,bite,37,7,37,21,30,S3:13;S4:12;S6:4;S5:3,GRID:29;PUSH_HOME:5;PUSH_AWAY:2;CENTER:1,mullen,u:f3,2219.0,7.04
zero,330.0,low-mid,54,7,54,21,32,S1:24;S3:7;S6:7;S4:6,GRID:45;PUSH_AWAY:2;HOME:2;PUSH_HOME:2;CENTER:2,mullen,u:f1,342.0,61.84
zero,650.0,low-mid,33,7,33,21,27,S4:9;S1:7;S2:7;S5:5,GRID:24;HOME:3;PUSH_HOME:3;CENTER:2;AWAY:1,vowel,ae:f1,660.0,26.43
zero,890.0,mouth,26,7,26,21,23,S1:7;S4:7;S3:4;S2:4,GRID:18;HOME:3;PUSH_HOME:3;CENTER:1;PUSH_AWAY:1,vowel,uw:f2,870.0,39.35
zero,1950.0,bite,49,7,49,21,33,S4:16;S2:15;S3:8;S5:4,GRID:41;PUSH_AWAY:2;AWAY:2;PUSH_HOME:2;CENTER:1,vowel,ih:f2,1990.0,35.15
zero,7050.0,air,46,7,46,21,26,S3:26;S6:6;S5:4;S4:4,GRID:38;HOME:3;AWAY:2;PUSH_HOME:1;CENTER:1,tube,oo_10cm:p4,6860.0,47.3
pole,2280.0,bite,28,7,28,20,27,S3:6;S4:6;S6:5;S1:5,GRID:20;PUSH_HOME:4;PUSH_AWAY:2;AWAY:1;CENTER:1,vowel,iy:f2,2290.0,7.58
pole,2370.0,bite,28,7,28,20,23,S2:7;S4:7;S6:6;S3:4,GRID:21;HOME:4;PUSH_HOME:2;PUSH_AWAY:1,tube,co_18cm:p3,2381.0,8.02
zero,96.0,sub,86,7,86,20,39,S3:21;S1:20;S5:17;S2:15,GRID:79;HOME:4;PUSH_HOME:2;AWAY:1,,,,
zero,130.0,low,40,7,40,20,31,S1:9;S2:8;S6:8;S3:6,GRID:28;PUSH_HOME:5;CENTER:5;AWAY:2,,,,
zero,425.0,low-mid,35,7,35,20,24,S1:10;S2:8;S5:7;S3:5,GRID:28;AWAY:6;HOME:1,vowel,uu:f1,440.0,60.05
zero,2720.0,bite,50,7,50,20,24,S6:18;S4:15;S3:6;S1:5,GRID:42;HOME:4;PUSH_HOME:2;PUSH_AWAY:1;CENTER:1,tube,oo_25cm:p4,2744.0,15.21
pole,2360.0,bite,29,7,29,19,25,S4:10;S3:6;S1:5;S6:5,GRID:21;AWAY:5;HOME:2;CENTER:1,tube,co_18cm:p3,2381.0,15.34
pole,1880.0,bite,36,7,36,18,24,S6:11;S5:9;S3:7;S1:5,GRID:26;CENTER:3;AWAY:2;PUSH_AWAY:2;HOME:2,tube,co_50cm:p6,1887.0,6.43
pole,3000.0,bite,30,7,30,18,24,S4:9;S3:6;S5:6;S1:4,GRID:21;HOME:3;CENTER:2;PUSH_HOME:2;PUSH_AWAY:1,vowel,iy:f3,3010.0,5.76
pole,5800.0,tear,26,7,26,18,22,S1:7;S5:6;S3:5;S6:4,GRID:18;HOME:4;PUSH_AWAY:2;CENTER:1;AWAY:1,tube,oo_18cm:p6,5717.0,24.95
zero,700.0,mouth,45,7,45,18,25,S1:26;S4:7;S2:6;S6:2,GRID:35;HOME:4;CENTER:3;AWAY:1;PUSH_AWAY:1,klatt,a:f1,700.0,0.0
zero,950.0,mouth,36,7,36,18,21,S3:17;S2:8;S1:7;S5:2,GRID:28;AWAY:3;PUSH_AWAY:3;HOME:1;CENTER:1,tube,oo_18cm:p1,953.0,5.46
zero,2940.0,bite,33,7,33,18,23,S6:15;S3:4;S5:4;S1:4,GRID:25;HOME:3;PUSH_HOME:2;PUSH_AWAY:1;AWAY:1,vowel,iy:f3,3010.0,40.74
pole,3490.0,bite,20,7,20,17,20,S3:5;S5:5;S4:4;S1:3,GRID:13;PUSH_HOME:4;AWAY:3,mullen,e:f4,3511.0,10.39
pole,2860.0,bite,29,7,29,16,21,S3:7;S4:5;S1:5;S5:4,GRID:22;AWAY:3;PUSH_AWAY:2;HOME:2,tube,oo_18cm:p3,2858.0,1.21
pole,4750.0,tear,20,7,20,16,18,S2:6;S3:5;S4:5;S1:2,GRID:12;HOME:3;PUSH_HOME:2;PUSH_AWAY:2;CENTER:1,tube,oo_18cm:p5,4764.0,5.1
zero,1250.0,mouth,38,7,38,16,24,S1:9;S4:9;S2:7;S5:7,GRID:28;HOME:3;PUSH_HOME:3;CENTER:3;PUSH_AWAY:1,klatt,u:f2,1250.0,0.0
zero,2880.0,bite,30,7,30,16,23,S3:11;S6:6;S2:5;S4:4,GRID:17;CENTER:6;HOME:5;PUSH_AWAY:1;AWAY:1,tube,oo_18cm:p3,2858.0,13.28
pole,5725.0,tear,23,7,23,15,21,S3:5;S5:5;S1:5;S2:4,GRID:15;PUSH_AWAY:2;AWAY:2;HOME:2;CENTER:1,tube,oo_18cm:p6,5717.0,2.42
pole,6000.0,tear,29,7,29,15,26,S5:11;S1:7;S4:4;S3:3,GRID:22;HOME:3;PUSH_AWAY:2;PUSH_HOME:1;AWAY:1,tube,oo_18cm:p6,5717.0,83.65
zero,3150.0,bite,19,7,19,15,15,S2:5;S4:5;S5:4;S1:3,GRID:11;AWAY:3;PUSH_AWAY:3;CENTER:1;PUSH_HOME:1,tube,co_25cm:p5,3087.0,34.98
zero,3420.0,bite,57,7,57,15,17,S4:35;S3:12;S5:4;S2:3,GRID:49;HOME:2;AWAY:2;PUSH_HOME:2;CENTER:1,tube,oo_25cm:p5,3430.0,5.05
pole,3770.0,tear,22,7,22,14,14,S5:7;S1:5;S2:4;S4:3,GRID:15;AWAY:3;HOME:2;PUSH_AWAY:1;PUSH_HOME:1,tube,oo_18cm:p4,3811.0,18.73
pole,4060.0,tear,19,7,19,14,17,S5:5;S2:4;S4:4;S1:3,GRID:11;HOME:4;AWAY:3;CENTER:1,tube,oo_25cm:p6,4116.0,23.72
pole,9725.0,air,21,7,21,14,16,S5:9;S4:5;S2:4;S1:3,GRID:13;PUSH_AWAY:4;HOME:1;AWAY:1;PUSH_HOME:1,,,,
zero,575.0,low-mid,26,7,26,14,16,S4:8;S1:7;S3:6;S2:4,GRID:19;HOME:4;PUSH_HOME:3,vowel,ao:f1,570.0,15.12
zero,2600.0,bite,23,7,23,14,18,S3:6;S6:5;S5:5;S4:4,GRID:14;PUSH_HOME:4;HOME:2;CENTER:2;PUSH_AWAY:1,klatt,a:f3,2600.0,0.0
