_source,"# RAW ARMAdillo bytes, 4-byte stage blueprint. DECODE TO Hz/radius UNVERIFIED (golden test failed).",F1_low_Hz,F2_high_Hz,F3_Hz,F4_Hz,air,air_db,air_delta_db,bite,bite_db,bite_delta_db,block,body,body_db,body_delta_db,body_path,boost,bucket,coef_max_abs,coef_rms,composite_db,contrast,corner,corner_BL_F1,corner_BL_F2,corner_BR_F1,corner_BR_F2,corner_TL_F1,corner_TL_F2,corner_TR_F1,corner_TR_F2,corner_peak_db,curve,da1,dc4,dfreq_hz,dr,dry,dtheta_deg,dtheta_rad,evaluated_points,file,float_agc_boost,freq_hz,gain_b0,gd_max_abs_samples,gd_rms_samples,ipa,kind,low,low_db,low_delta_db,low_minus_bite,low_minus_body,mag_max_abs_db,mag_rms_db,max_coeff_err,max_pole_angle_err_deg,max_pole_angle_err_rad,max_pole_radius,max_q,max_r,mean_delta_db,method,mode,morph,name,notes,null_float_vs_packed_roundtrip_db,null_vs_oracle_db,packed_agc_boost,parallel,peak,peak_db,phoneme,point_index,point_name,pole_bw_hz,pole_freq_hz,pole_hz,pole_kind,pole_r,preset,q,radius,rank,rms_delta_db,row,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,shape_rms_delta_db,source,source_file,stable,stable_points,stage,voice,wav,word_example,x3,zero_hz,zero_kind,zero_r
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,24.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,24.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,25.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,25.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,26.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,26.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,27.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,28.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,29.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,31.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,31.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,32.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,32.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,34.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,34.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,35.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,35.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,36.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,36.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,37.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,38.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,38.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,39.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,40.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,41.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,41.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,42.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,42.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,43.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,44.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,44.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,45.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,45.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,46.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,47.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,47.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,48.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,49.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,49.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,50.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,51.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,51.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,52.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,53.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,,,,,,,,,,,53.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,54.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,55.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,56.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,56.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,57.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,58.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.46,12.63,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
